thermoreg_reading,enzyme_activity_index,dual_lobe_signal,stress_variability,habitat_zone,activity_score,fasting_flag,health_outcome,calibration_tag,diagnostic_noise,thermoreg_reading_fahrenheit
46.5,110.0,6.7,6.800000000000001,c2,3.0,0,0,a,0.2688634366171195,27.83883386601889
57.0,116.0,3.2,1.8,c1,2.0,0,0,a,-0.9378562005145676,39.72178293131439
48.6,88.0,4.2,-1.1,c1,5.0,1,1,a,-0.2071188182246656,
39.900000000000006,,3.3000000000000003,4.9,c2,1.0,1,0,a,,20.5188230899587
41.1,109.0,4.1000000000000005,8.6,c3,5.0,0,0,a,0.1458543017297664,21.800415073968672
42.8,128.0,4.1000000000000005,5.800000000000001,c5,4.0,0,1,a,-0.2768833277122234,23.7249294259855
54.1,76.0,-2.0,-13.2,c1,2.0,0,0,a,-0.1378173571728704,36.474446696483874
51.3,131.0,3.1,2.2,c2,4.0,0,0,a,0.5969275294222969,33.28183162463509
55.7,66.0,4.0,,c1,4.0,0,1,a,0.0713916593227288,38.21436818660992
46.7,121.0,-0.8,-11.0,c2,3.0,0,0,a,-2.5277014612862283,28.154726182971192
51.400000000000006,85.0,0.4,-6.7,c3,4.0,0,0,a,-0.83192554637766,33.426857219690426
55.2,130.0,3.5,,c1,3.0,0,0,a,-0.0429764566789494,37.63031354570603
47.7,135.0,4.6000000000000005,3.2,c5,4.0,,1,a,0.9801087917784616,29.21588114251785
53.8,111.0,,1.3,c1,4.0,0,1,,-0.5558053986619359,
44.900000000000006,90.0,2.7,-2.0,c3,5.0,0,0,a,-0.6450852331679664,
47.3,93.0,-3.6,-0.2,c3,4.0,0,1,a,0.3988158864839374,28.732515380914357
47.1,83.0,2.8000000000000003,-4.3,c2,5.0,0,0,a,-1.1151271888434615,28.56435895401504
40.6,115.0,3.6,-2.2,c4,2.0,1,1,,0.5852927990583215,21.237443189698645
54.1,104.0,0.0,-2.9000000000000004,c3,2.0,0,0,a,-0.6720264914603995,36.38275232707024
46.400000000000006,35.0,5.300000000000001,-3.4000000000000004,c3,3.0,0,0,,0.1429437587100278,27.77537893817549
50.3,124.0,3.0,-2.7,c2,2.0,1,0,a,0.2933241540748829,32.11244706854919
54.0,129.0,1.1,3.9,c3,5.0,1,0,a,0.355654255479701,36.32671993015318
53.7,108.0,3.6,-2.0,c1,2.0,1,1,a,1.0584594398158538,36.01878058426949
55.5,88.0,2.2,3.6,c3,3.0,0,1,a,,37.98846598075507
49.400000000000006,,0.4,1.4,,3.0,0,1,a,-0.7927724088167997,31.113630639415188
46.8,74.0,,-3.2,c3,5.0,1,0,a,-0.0149343697896622,
49.5,105.0,,-7.1000000000000005,c4,2.0,1,0,a,2.0801538882826165,31.282536101842407
36.7,28.0,-4.5,-5.300000000000001,c5,5.0,1,0,a,1.0420300191052143,16.81399009437773
38.6,92.0,3.6,-7.4,c1,2.0,0,0,a,-0.9877582501310302,18.975987748192217
39.6,85.0,,-3.9,c3,2.0,0,0,a,-1.2525185006145578,
42.2,122.0,4.3,3.2,c4,2.0,,1,a,-0.2083153073028675,23.024778551586664
53.400000000000006,125.0,6.800000000000001,,c1,5.0,1,0,a,-1.4536460659010064,35.59796804051093
42.900000000000006,69.0,-2.8000000000000003,-4.7,c1,2.0,0,0,a,-1.310377500721073,23.850688501759453
47.1,50.0,0.1,-4.1000000000000005,c1,1.0,0,0,a,1.0819114048883487,
60.6,96.0,,-2.3000000000000003,c4,2.0,1,1,a,1.0249649679104178,43.69305468007459
47.3,133.0,2.4000000000000004,-1.5,c5,3.0,1,1,a,0.9241382836726466,28.793624260447167
56.1,118.0,3.3000000000000003,,c4,2.0,,0,a,1.607853778280426,38.63764011620378
42.7,104.0,-1.9,-1.7000000000000002,c2,2.0,0,0,a,-2.02346828118271,23.597440879911105
48.5,81.0,3.8,1.6,c3,2.0,1,0,a,0.1375496149185496,30.15106197919133
42.6,101.0,4.1000000000000005,4.6000000000000005,c1,4.0,0,1,a,-0.6494278759064674,
47.400000000000006,55.0,2.1,0.2,c5,3.0,0,1,a,1.0112653891172374,28.94870231689493
56.900000000000006,137.0,-3.3000000000000003,-10.2,c5,,,1,a,-1.0004702856972871,39.56277323711656
36.3,46.0,5.1000000000000005,-1.9,c2,5.0,0,0,a,0.4175600556761533,16.45411619126886
53.6,53.0,0.3,1.2000000000000002,c1,,0,1,a,0.8441924814517087,35.909812791912714
52.1,165.0,3.9,-4.0,c5,4.0,1,1,a,0.9735388743633456,34.139620420990504
45.400000000000006,96.0,4.800000000000001,1.0,c4,2.0,1,0,a,1.5796655704785467,26.65265039872885
38.6,84.0,3.3000000000000003,0.8,c5,3.0,0,1,a,1.4928443156248867,18.98547931050391
50.7,51.0,0.7000000000000001,-5.4,c2,2.0,0,0,a,0.1213345797367923,32.649165569424824
45.900000000000006,110.0,2.3000000000000003,-6.7,c1,3.0,1,0,a,-1.529317954017763,27.234565618425776
52.0,127.0,4.4,-2.7,c2,1.0,0,1,a,0.4166148760880659,34.09408590219233
50.3,95.0,,-12.1,c2,3.0,1,0,a,1.4943524584095886,32.196669309710984
63.0,146.0,4.5,4.9,c4,3.0,0,0,a,1.17482225671555,46.41601002188824
48.2,129.0,6.0,,c1,3.0,0,0,a,-1.9909995703275185,29.84579935274278
42.0,101.0,1.2000000000000002,-3.8,c3,2.0,0,0,a,,22.788522566403216
51.6,44.0,3.5,-4.3,c4,2.0,1,0,a,0.6348978819550049,
51.900000000000006,72.0,0.9,4.1000000000000005,c1,2.0,0,1,a,0.5568604684053615,33.97997015574589
,164.0,7.0,6.300000000000001,c2,,1,0,a,0.1057406750830912,
56.8,114.0,3.4000000000000004,-1.2000000000000002,c3,2.0,1,0,,0.1321596589871271,39.516001213231206
53.0,108.0,4.2,7.1000000000000005,c2,4.0,0,0,a,-0.7808760302928115,
61.900000000000006,98.0,5.800000000000001,4.1000000000000005,c2,3.0,,0,a,0.5170851076702834,45.16972602097606
40.6,67.0,4.3,3.5,c3,1.0,1,0,a,1.7647183009521092,21.30113251109434
45.0,124.0,0.5,-5.6000000000000005,c1,2.0,0,1,a,0.0888213407266587,26.24223620525227
42.7,128.0,5.5,-3.2,c3,3.0,1,0,,-1.6671660396283712,23.66081652735028
47.0,117.0,-2.5,-10.5,c4,3.0,1,0,a,-0.6787613554768265,28.491711771598087
39.1,97.0,2.9000000000000004,9.8,c1,,0,0,a,0.524946166427131,19.60982467199322
55.2,126.0,4.4,-1.3,c1,,1,1,a,0.5562161231029884,37.71635852132964
48.400000000000006,96.0,0.7000000000000001,-0.7000000000000001,,5.0,0,1,,-0.7483529133261426,29.99999572611104
38.400000000000006,48.0,0.5,0.7000000000000001,c3,,1,0,a,-0.8476074230146574,
42.0,48.0,,1.3,c2,2.0,0,0,a,0.1823983941284996,22.859788269132125
52.7,140.0,-3.9,-5.7,c2,4.0,1,1,a,0.2841928604955068,34.821624627051754
,111.0,1.2000000000000002,-1.3,c3,2.0,1,0,a,0.165024085065841,39.54313911104943
66.10000000000001,,-0.7000000000000001,,c2,2.0,1,0,a,-0.0052013628801711,49.97057802522608
73.5,145.0,-1.8,-7.6,c3,4.0,0,0,a,-0.0186357957687291,58.22476219406597
53.5,113.0,,0.9,c4,5.0,1,1,a,-0.6954592372220769,35.72968489948397
42.2,96.0,4.800000000000001,-7.2,c2,3.0,1,0,a,-1.888958547264372,23.09415691971322
33.1,90.0,5.0,-5.2,,3.0,1,1,a,-1.2369684026708114,12.811583473418215
52.3,83.0,-0.9,-7.9,c2,2.0,1,0,a,-0.3876076112131443,34.409403161094524
43.7,121.0,2.4000000000000004,4.1000000000000005,c2,3.0,0,0,a,0.7651124568063503,
46.8,75.0,-2.7,-5.2,,4.0,1,0,a,-0.8903967798049548,
45.3,99.0,3.0,3.9,c3,4.0,0,0,a,2.0444082610214607,
49.0,67.0,5.9,5.2,c3,1.0,1,0,a,-0.1506340859535196,30.73288202225253
58.7,110.0,-0.8,,c4,1.0,0,1,a,-0.7896840298969395,
51.400000000000006,85.0,1.4,-4.4,c2,4.0,1,1,a,0.7519926212458852,33.4134371070081
48.900000000000006,99.0,6.6000000000000005,4.5,c4,3.0,0,0,a,1.20709634195429,
41.900000000000006,106.0,0.9,0.2,c1,5.0,0,1,a,1.4917508735984737,22.679116224567693
36.8,80.0,5.800000000000001,12.8,c3,1.0,1,0,a,0.865363476196238,16.927853497660788
46.3,147.0,5.1000000000000005,1.4,c2,5.0,0,0,a,0.5683346363859051,27.623228818340024
49.7,121.0,1.0,2.4000000000000004,c1,1.0,0,1,a,-0.3317656406791867,31.515957042635115
64.3,118.0,-1.2000000000000002,-3.2,c2,1.0,1,0,a,0.1954583070489345,47.911369222218944
51.2,100.0,2.5,-2.4000000000000004,c1,5.0,0,1,a,0.3229473523235711,33.172470693255974
58.0,124.0,4.2,5.800000000000001,c1,3.0,0,0,a,-0.6856034330912628,40.84465559920752
46.2,113.0,5.1000000000000005,10.9,c2,2.0,1,0,a,0.451732051098252,27.50633961314763
40.7,,4.1000000000000005,3.1,c5,3.0,1,1,a,-1.8123065775903795,21.33550610224678
42.400000000000006,105.0,5.300000000000001,0.1,c4,2.0,0,0,a,-0.6652227886074374,
44.400000000000006,58.0,-2.2,-1.5,c5,5.0,0,1,,-0.4457048959786249,25.472965419178223
67.2,144.0,1.7000000000000002,1.0,c1,4.0,0,0,a,0.0601177032845134,51.15622759191648
43.6,119.0,0.5,,c1,4.0,1,0,a,0.4576197780408045,24.607519886980526
56.900000000000006,120.0,3.8,4.9,c1,2.0,0,0,,0.3811491865058439,39.54640283362711
42.900000000000006,26.0,4.7,-1.5,c3,1.0,0,0,a,0.3030098481877233,23.87365539721676
57.6,65.0,1.7000000000000002,5.2,c5,4.0,1,1,a,-1.4373965960841275,40.3841571158682
53.2,121.0,2.1,3.5,c2,1.0,1,0,a,2.170281856098069,35.46455869495277
48.900000000000006,32.0,1.6,3.8,c2,1.0,1,0,a,,30.590258921077183
49.8,116.0,3.5,3.4000000000000004,c1,3.0,1,1,a,1.227546714153446,31.63313726478109
44.900000000000006,118.0,,5.5,c3,4.0,,0,a,0.2638106987259831,26.106910741135486
53.7,137.0,-0.7000000000000001,-0.4,c4,3.0,0,1,b,0.1541110907768651,36.01464981333872
46.5,88.0,5.4,2.0,c3,3.0,1,0,a,,
40.3,96.0,8.4,6.300000000000001,c3,5.0,0,1,a,-0.0571573852998051,20.969548126094764
39.900000000000006,89.0,,3.5,c2,2.0,0,1,a,-1.596352767751033,
51.5,63.0,-2.3000000000000003,-2.2,c2,1.0,1,0,a,-0.3631461726194397,33.55329125949908
62.8,142.0,5.6000000000000005,3.6,c2,2.0,1,0,a,2.1893271773160485,46.21182130769391
51.400000000000006,140.0,2.0,-1.2000000000000002,c4,3.0,1,0,a,0.6791632627731896,33.43992452216094
49.2,117.0,1.6,-0.9,c3,4.0,1,0,a,-0.5834412882474156,30.932255065011056
52.400000000000006,91.0,4.4,2.3000000000000003,c1,3.0,0,1,a,-0.4089149684839075,
60.6,138.0,-0.7000000000000001,-9.7,c2,3.0,0,0,,-0.4860866763992121,43.75401567536142
51.900000000000006,138.0,5.9,7.9,c1,3.0,0,0,a,-0.1839901956530862,33.974442512274706
46.900000000000006,126.0,-0.7000000000000001,-0.8,c1,3.0,0,1,a,1.296909306120314,28.301654922496365
59.0,143.0,0.8,-3.5,c1,2.0,1,0,a,0.4904746508392047,
53.6,63.0,1.4,2.1,c4,1.0,0,1,a,-0.5434546883244329,35.85880794615452
62.5,132.0,4.2,-0.1,c1,2.0,0,0,a,-2.169155830060637,45.82180392796393
51.6,120.0,-0.5,-4.2,c5,2.0,1,1,a,1.6554385540465253,33.64910993499716
40.400000000000006,112.0,-1.1,-1.0,c1,2.0,0,1,b,1.110588945238958,20.979778714515497
,96.0,2.2,6.4,c2,2.0,0,0,a,-0.0444718749555208,19.68656720678901
63.400000000000006,165.0,2.3000000000000003,1.6,c4,3.0,1,0,a,0.3609873593219222,46.858351390081246
64.0,74.0,3.8,-1.6,c1,3.0,0,1,a,-0.4008069067064335,47.51299148704968
48.7,113.0,-2.6,-5.4,c4,2.0,1,1,a,-0.6704609380703322,30.384327080456597
47.1,108.0,2.0,3.8,c3,2.0,0,0,a,2.442348962351784,
61.900000000000006,144.0,5.300000000000001,4.800000000000001,c1,1.0,1,0,a,,45.15299863017982
41.3,127.0,-3.8,,c5,4.0,0,1,a,-0.3002599710025414,22.036588861608607
43.0,,4.5,4.0,c1,3.0,0,1,a,0.4203693866802082,23.947456829397563
55.3,150.0,-0.4,1.3,c1,4.0,0,1,a,0.5279820182137064,37.7899411522014
47.0,117.0,4.5,10.9,c4,2.0,0,0,a,0.0400244055603825,28.448553894263693
50.1,95.0,-0.2,-7.5,c1,1.0,1,0,a,-0.2499416133027974,31.95390319951936
48.900000000000006,74.0,-0.1,,c3,4.0,0,0,a,0.3216077102496867,
52.900000000000006,,-1.6,1.0,c1,1.0,0,1,a,-1.0914223738837645,35.0381709391904
61.400000000000006,127.0,,14.8,c5,2.0,0,0,a,-1.0968312413536905,44.66733675182345
50.900000000000006,111.0,0.3,-5.5,c2,3.0,0,0,a,0.5956523622237586,32.81526416211571
55.3,92.0,4.0,3.5,,4.0,0,1,a,-0.7670382064820633,37.79544913949172
33.7,89.0,3.8,2.4000000000000004,c5,,1,1,a,0.7025116744687585,13.548451090720796
49.8,89.0,-3.5,-0.9,c3,4.0,1,1,a,1.1288398533538713,
43.400000000000006,122.0,0.3,0.7000000000000001,c3,3.0,0,0,a,1.4158004006139415,24.41092756736416
40.400000000000006,130.0,3.1,2.6,c2,4.0,0,0,a,1.1621132874917568,21.03068245618735
43.1,,5.800000000000001,6.800000000000001,c3,2.0,0,0,a,,24.096628697641243
47.5,98.0,4.6000000000000005,2.0,c1,3.0,0,1,a,,
57.5,139.0,6.5,1.9,c2,1.0,0,0,,-0.0098851833124176,40.24312288120412
39.5,90.0,-2.0,-1.5,c2,3.0,0,1,a,1.0592866086541275,
50.400000000000006,64.0,4.4,0.0,c2,,0,1,a,-0.2843332453715695,32.275683433349755
46.3,117.0,-1.6,-3.5,c1,4.0,1,1,a,1.3494198982523882,27.642475099997792
47.5,80.0,-3.2,-10.5,c4,4.0,0,0,a,0.1682054088169287,29.05094215074235
58.2,119.0,-3.2,-4.2,c1,3.0,0,1,a,1.34086470682906,41.02482042774144
54.5,81.0,-4.4,-9.4,c2,3.0,,0,a,0.1340971898232529,36.84303893303533
60.900000000000006,140.0,1.3,-0.6000000000000001,c3,4.0,0,0,a,,44.036582966984696
48.900000000000006,87.0,5.6000000000000005,-1.3,c1,4.0,0,1,a,-1.052533173165104,30.609448886750897
44.6,115.0,0.6000000000000001,-1.2000000000000002,c1,1.0,0,1,a,-0.3699777279458742,25.736516494963677
48.400000000000006,92.0,-2.4000000000000004,0.1,c1,3.0,0,1,a,1.5807960735608948,
52.1,91.0,4.9,0.2,c1,5.0,1,1,a,1.5315483851764162,34.182471121441
51.6,114.0,5.2,-1.0,c4,2.0,0,0,b,-2.325136019022085,33.5891602260834
41.5,57.0,-0.6000000000000001,,c2,3.0,,0,,2.3652900622727744,22.2405073498997
50.900000000000006,150.0,-0.9,1.5,c2,2.0,,1,,1.7329838820159778,32.81440803465087
52.0,108.0,4.5,4.1000000000000005,c1,4.0,0,1,a,-0.7048904646792027,
70.3,119.0,5.7,1.4,c2,4.0,0,0,,0.7525869461792493,54.65726633780528
65.2,115.0,4.3,-0.5,c1,5.0,0,0,a,0.9440364496435698,48.89160150153504
43.3,89.0,1.7000000000000002,-1.6,c1,4.0,0,1,a,-2.494329212622706,24.32080984497062
47.900000000000006,123.0,2.7,0.5,c2,3.0,0,1,a,-0.1511716219563573,29.413549746057416
38.400000000000006,57.0,0.5,-8.5,c3,3.0,1,0,a,,18.829021983466973
45.400000000000006,82.0,3.6,-2.6,c1,4.0,0,1,b,-0.1922299605074138,26.68363687432862
52.7,103.0,0.9,4.4,c1,4.0,0,1,a,-1.3772618649928718,34.84044503231306
59.8,158.0,-2.3000000000000003,-2.7,c3,1.0,0,0,a,-0.1298556523324836,
44.3,118.0,0.8,4.3,c1,2.0,0,1,a,0.5502045301907738,25.438245460307524
44.900000000000006,,5.300000000000001,7.4,c1,4.0,0,0,a,0.4173805998810243,26.11268203938983
33.0,72.0,-1.7000000000000002,,c5,1.0,1,1,a,-1.0886975601684736,12.674398732352106
48.900000000000006,137.0,7.1000000000000005,3.4000000000000004,,4.0,0,0,a,2.3169939884046946,30.53600671509583
41.7,120.0,5.4,7.300000000000001,c3,5.0,0,0,a,-1.0668519679815878,22.438270293263933
,112.0,6.6000000000000005,7.4,c4,2.0,,0,a,-0.6291623372967744,
43.1,110.0,-2.2,0.7000000000000001,c1,2.0,1,1,a,0.5236724232281824,
49.400000000000006,83.0,4.1000000000000005,1.9,c2,5.0,1,1,a,-0.5135396329188353,31.151637011726987
36.1,126.0,0.4,-0.7000000000000001,c2,3.0,1,1,a,-0.5733015385306346,16.180444477790317
38.400000000000006,74.0,-1.7000000000000002,-4.2,c1,4.0,1,0,a,-0.5350308939893671,18.79659279148109
67.2,144.0,-1.0,-2.7,c1,,1,0,a,-0.1263286323887405,
39.900000000000006,101.0,6.1000000000000005,0.8,c5,2.0,1,1,a,,20.413196768533723
41.400000000000006,49.0,0.8,-1.2000000000000002,c1,1.0,,0,a,-0.2975901399789437,22.12892979390824
64.9,124.0,0.1,-2.2,c4,3.0,0,0,a,-0.5539430422698058,48.53222175489182
73.4,145.0,4.9,0.7000000000000001,c2,5.0,1,0,a,-1.1588939896825428,58.14560452316366
40.8,82.0,2.2,3.7,c3,3.0,0,0,a,0.2071761195454112,
47.2,94.0,0.7000000000000001,-7.0,c2,1.0,1,0,a,0.5788644292935649,28.685759388907726
52.900000000000006,,4.6000000000000005,3.9,c2,1.0,1,0,a,-0.8482452825224871,35.07399995846458
64.0,101.0,-1.6,-6.9,c2,4.0,0,1,a,,
42.3,53.0,,-3.9,c2,1.0,0,0,a,0.3683746981377991,23.11828629414586
,81.0,5.0,-0.5,c4,2.0,1,1,a,-0.6020674736026748,29.79249938652101
56.400000000000006,131.0,2.3000000000000003,2.4000000000000004,c4,4.0,0,0,a,-0.8216016064171977,38.996038184555694
53.6,129.0,-0.1,-11.3,c1,2.0,0,1,,0.7089488485108103,
,112.0,-0.9,,c1,3.0,0,1,a,1.2693734151532376,28.614595358929108
49.1,123.0,5.300000000000001,3.2,c4,2.0,1,0,a,-0.3543054603367729,
39.2,89.0,-4.0,-9.2,c1,2.0,0,0,a,-2.0333063648911724,19.62593772467017
48.3,83.0,2.7,1.5,c4,2.0,0,1,a,0.4305464590731094,29.85643630422801
48.0,71.0,,-3.7,c1,3.0,1,0,a,-1.5571799803907522,
52.0,69.0,-0.6000000000000001,-2.3000000000000003,c1,2.0,0,0,a,1.8496901166412256,34.089529006636305
45.7,87.0,3.8,-3.6,c1,5.0,1,1,a,0.2646268868550533,27.002055030628856
53.900000000000006,128.0,5.0,11.4,c1,2.0,,0,a,0.6304565576687164,36.243846702906254
58.3,120.0,3.8,,c3,4.0,1,0,a,0.269597876066536,41.114442360378455
51.400000000000006,103.0,-3.0,-3.1,c2,2.0,1,1,a,0.9902695072718772,33.3988639490162
53.0,77.0,-3.0,-8.3,c5,2.0,1,1,a,0.6981028434643796,
50.6,171.0,0.6000000000000001,-2.2,c2,3.0,0,1,a,0.4242198120378506,32.47839812820081
50.2,78.0,2.8000000000000003,,c3,4.0,0,0,a,0.2147810134542442,32.00075953782273
44.400000000000006,94.0,6.300000000000001,5.0,c3,,0,0,a,-1.542266383751824,25.50597769811437
52.7,132.0,6.4,5.7,c1,2.0,0,0,a,0.6527009936753371,34.84844835505977
49.400000000000006,100.0,6.6000000000000005,5.1000000000000005,c4,4.0,0,1,a,-0.2933383882074893,
66.9,107.0,1.4,1.0,c2,2.0,0,0,a,0.2489594622393703,
62.8,143.0,1.3,-1.2000000000000002,c2,5.0,0,0,a,0.9386188108074304,46.16019412227718
53.2,69.0,3.0,2.5,c2,1.0,0,1,a,-0.8523454135098346,35.47261897300851
44.1,137.0,2.8000000000000003,-1.8,c2,4.0,1,1,a,-0.7956781077711395,25.13248511274709
41.3,93.0,4.4,-2.3000000000000003,c1,3.0,0,0,a,0.8029408435768461,21.98829675214924
59.7,110.0,-1.2000000000000002,5.2,c1,2.0,1,0,a,-0.7330492204713708,42.72028657779978
52.3,66.0,-2.7,-2.2,c5,1.0,0,1,a,-0.5055505782847258,34.36474302632425
54.0,76.0,3.7,9.3,c4,5.0,0,1,a,-0.4594838714616694,36.3212906305245
,75.0,-1.1,-3.7,c4,2.0,0,0,a,0.60384060667773,16.298726117232267
,164.0,-1.6,7.2,c3,2.0,0,0,a,-0.3116260688412491,40.34694633402363
53.8,113.0,3.5,1.8,c3,2.0,0,0,a,,36.08978304392927
41.3,95.0,5.4,8.0,c4,2.0,0,1,a,1.332509905704243,22.00612384026969
46.400000000000006,104.0,4.9,2.8000000000000003,c2,3.0,0,0,a,0.5298839060519752,27.75627673295046
52.3,168.0,4.6000000000000005,3.1,c4,3.0,1,0,a,0.4744772858041284,
50.6,89.0,4.9,2.2,,5.0,0,1,,-0.0718305755742381,32.472201185206195
47.8,139.0,-4.1000000000000005,-7.300000000000001,c2,2.0,0,1,a,-0.4193803368482526,
